trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",30,0,-75.87251083021019,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",25,0,-230.59740369873188,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 4}",0
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,0,-103.42392886224015,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",30,17,-114.95674408268577,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 2}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",30,17,-35.52082887961545,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",25,3,-125.23270958648747,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 2}",1
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",30,15,-110.2159364496414,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 3}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",20,8,-62.0549189446114,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",30,21,-50.2380685860991,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",30,0,-125.82742558000447,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,0,-75.62418462559168,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",20,0,-46.9558608655815,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,0,-110.81182000143416,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",25,0,-104.25551082573368,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",30,0,-110.39439069952275,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",20,0,-117.03082916970901,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,0,-67.53269252412342,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",20,0,-67.9908803126468,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,0,-130.66860601491723,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",20,0,-95.99404954260383,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,0,-50.46341266630582,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",35,1,-91.14465905955731,"{0: 25, 1: 0, 2: 8, 3: 0, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",25,0,-104.76622354395545,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",20,0,-99.87479854183007,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",25,0,-151.1776667218216,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",20,0,-44.25200610911335,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",25,0,-59.534191017028284,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",20,0,-52.58563757334972,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,0,-131.62394911708654,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",20,0,-136.60314177416438,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",30,0,-176.73747008501903,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
